"sample"	"cluster"	"x"	"y"
"41"	41	2	0.631223702246738	0.406897159001456
"42"	42	2	0.638472896955713	0.343776352832148
"43"	43	2	0.698091355397259	0.389867161747847
"44"	44	2	0.651607638246354	0.416261686270954
"45"	45	2	0.620448759727202	0.3416540144484
"46"	46	2	0.601893413265435	0.343822039094388
"47"	47	2	0.676942070771397	0.305241935839087
"48"	48	2	0.658334506435615	0.422025307141875
"49"	49	2	0.712112823646068	0.342342803078367
"50"	50	2	0.608921378694953	0.353690337762821
"51"	51	2	0.638664430678237	0.324110367109975
"52"	52	2	0.615087093615375	0.387287755933776
"53"	53	2	0.655713582634241	0.413358291034962
"54"	54	2	0.63240305044954	0.371850634561407
"55"	55	2	0.60950535660744	0.353013540937026
"56"	56	2	0.645842669609581	0.314941599165255
"57"	57	2	0.613358019911864	0.40975004407361
"58"	58	2	0.619198709813546	0.385773634150499
"59"	59	2	0.686534937318723	0.363799686854603
"60"	60	2	0.629535142543089	0.4011593567349
"61"	61	2	0.713397302227075	0.403984460061658
"62"	62	2	0.64717100974939	0.35116250053175
"63"	63	2	0.655390849310513	0.328255798719882
"64"	64	2	0.612536574346799	0.39392701377772
"65"	65	2	0.630013325697262	0.385825347993374
"66"	66	2	0.656734497936663	0.349987216176763
"67"	67	2	0.643533944629733	0.459648153664059
"68"	68	2	0.633292284722156	0.288555804304039
"69"	69	2	0.66920879695947	0.364784868609675
"70"	70	2	0.659213138672701	0.399192430383686
"71"	71	2	0.676098644965499	0.40949940519294
"72"	72	2	0.684868398624885	0.394304361423462
"73"	73	2	0.654554036923819	0.369479519953044
"74"	74	2	0.639373658094252	0.388696273873779
"75"	75	2	0.685862251665276	0.381756447745779
"76"	76	2	0.624782286304645	0.36420717936326
"77"	77	2	0.65885270244995	0.33871676239054
"78"	78	2	0.629485365742881	0.401516315276399
"79"	79	2	0.63454130640545	0.3544915167863
"80"	80	2	0.650038878152431	0.356197217633341
"81"	81	3	0.58591623655184	0.83307016027485
"82"	82	3	0.578764809478733	0.843487512133811
"83"	83	3	0.602142855697765	0.815198215726548
"84"	84	3	0.516583840246181	0.932279369042152
"85"	85	3	0.576945940800929	0.880597971455368
"86"	86	3	0.525560216900864	0.949509870881845
"87"	87	3	0.487606923943395	0.847741437629979
"88"	88	3	0.571227965666773	0.935875122804841
"89"	89	3	0.548026114088817	0.92370154063736
"90"	90	3	0.576388161254161	0.868693299514943
"91"	91	3	0.471552506627644	0.912840517888896
"92"	92	3	0.591496814527785	0.90885949043291
"93"	93	3	0.523774630963715	0.887016234483142
"94"	94	3	0.533041287646758	0.936627404879461
"95"	95	3	0.531194381548174	0.883031972258567
"96"	96	3	0.528388934014158	0.952250113554884
"97"	97	3	0.54074011915898	0.855545745681045
"98"	98	3	0.540883668397779	0.930787488306136
"99"	99	3	0.585916122149321	0.875697726172789
"100"	100	3	0.545568302652617	0.902045436830162
"101"	101	3	0.570370740052781	0.889267716925448
"102"	102	3	0.473923816490991	0.887423622367372
"103"	103	3	0.537157567245078	0.888775630024843
"104"	104	3	0.533913802994748	0.918951619495242
"105"	105	3	0.625718934362593	0.892361129487015
"106"	106	3	0.598953284304292	0.932185869019759
"107"	107	3	0.588429191786483	0.894822796908899
"108"	108	3	0.576741647003016	0.896647147946125
"109"	109	3	0.576169755300407	0.889813539415377
"110"	110	3	0.539820142140343	0.878675210534628
"111"	111	3	0.566248584068815	0.89765529811892
"112"	112	3	0.56808671161333	0.921205639089596
"113"	113	3	0.523442494065237	0.915833688209462
"114"	114	3	0.62239760695787	0.921298119070928
"115"	115	3	0.561327830961993	0.943400279683513
"116"	116	3	0.533227284763917	0.902129212588874
"117"	117	3	0.526888146998603	0.896089741593387
"118"	118	3	0.565304949748609	0.938001611243796
"119"	119	3	0.572137785815871	0.889495863020557
"120"	120	3	0.564596084374373	0.861171388811012
"121"	121	4	0.0520069904889107	0.506307598419169
"122"	122	4	0.0717483348186391	0.506501670295565
"123"	123	4	0.0866652253560812	0.478625368315599
"124"	124	4	0.104963142925279	0.513342110139057
"125"	125	4	0.0532003952837816	0.526263442712744
"126"	126	4	0.118348688990716	0.50252376978795
"127"	127	4	0.0888848886571173	0.485840200360496
"128"	128	4	0.0644750894585404	0.470320895832716
"129"	129	4	0.090084983433178	0.507605242164702
"130"	130	4	0.0660149183857988	0.570918919107592
"131"	131	4	0.0353224290218685	0.502484949603698
"132"	132	4	0.0605849874208783	0.500140133225904
"133"	133	4	0.0570100769951023	0.602681572624199
"134"	134	4	0.0131613685327583	0.460522282316719
"135"	135	4	0.0644669761306111	0.523515795499293
"136"	136	4	0.0525642744632143	0.539174922576232
"137"	137	4	0.120645247552199	0.504881133833975
"138"	138	4	0.0602057441269765	0.554750646102182
"139"	139	4	0.0839280972580634	0.543403077348195
"140"	140	4	0.0978483471956706	0.520839491345533
"141"	141	4	0.0310569510942562	0.484219566151041
"142"	142	4	0.0617741933559628	0.528940463284549
"143"	143	4	0.0327683104916707	0.509616467935498
"144"	144	4	0.0883826871561139	0.49266145068549
"145"	145	4	0.1331940174765	0.523778303763664
"146"	146	4	0.0562398092443928	0.536620862769886
"147"	147	4	0.0328316827511609	0.516864953823229
"148"	148	4	-0.0152101951367358	0.544702987667678
"149"	149	4	0.034512222665397	0.443908953994552
"150"	150	4	0.0293148476756202	0.541394272039844
"151"	151	4	0.0796003873402237	0.502110130049157
"152"	152	4	0.0505423042277016	0.527836129099383
"153"	153	4	0.0753877945194519	0.553668554285145
"154"	154	4	0.0484662595757873	0.523426719670715
"155"	155	4	0.0966347252968396	0.521907756872486
"156"	156	4	0.0726404381749604	0.440335179098728
"157"	157	4	0.104917924840983	0.482723333644867
"158"	158	4	0.0597547539362495	0.541714535974028
"159"	159	4	0.0475542672552632	0.476761970885152
"160"	160	4	0.0594009745589038	0.515868478753393
"161"	161	5	0.27730203397259	0.349480181852613
"162"	162	5	0.267019570903595	0.36148055789791
"163"	163	5	0.278366171402403	0.319353918800008
"164"	164	5	0.304445245185179	0.361963760318375
"165"	165	5	0.264677792176679	0.315373943925057
"166"	166	5	0.292625262495634	0.368177020363526
"167"	167	5	0.261370066145853	0.421172403680841
"168"	168	5	0.316357402726081	0.389767192613573
"169"	169	5	0.26225660264568	0.413071577173588
"170"	170	5	0.301742793960061	0.40922763481185
"171"	171	5	0.31896808083515	0.358742262377042
"172"	172	5	0.350051240162396	0.379545959662472
"173"	173	5	0.243792570952381	0.313811115453657
"174"	174	5	0.276805496134349	0.395454329768649
"175"	175	5	0.294059091229301	0.347067249419321
"176"	176	5	0.271491064970725	0.396856283041867
"177"	177	5	0.290778122909404	0.312506269718757
"178"	178	5	0.331692098190073	0.403051078962488
"179"	179	5	0.356075575017221	0.353551264600952
"180"	180	5	0.29862595094451	0.411417948497034
"181"	181	5	0.301767190659891	0.368060798779948
"182"	182	5	0.324130664564718	0.349498785654483
"183"	183	5	0.279866885407287	0.383589127458836
"184"	184	5	0.301847139300756	0.366893595391354
"185"	185	5	0.267617119251821	0.349854494113817
"186"	186	5	0.253645432146935	0.341802374624234
"187"	187	5	0.311136742611772	0.440942803895421
"188"	188	5	0.318637995910758	0.340151579929909
"189"	189	5	0.288082884990039	0.385415542464174
"190"	190	5	0.249627904276548	0.362298556756686
"191"	191	5	0.344426076055192	0.338105353392848
"192"	192	5	0.317505732684953	0.326935267770255
"193"	193	5	0.313856171735979	0.323982118173029
"194"	194	5	0.281138964533001	0.326459658441306
"195"	195	5	0.220883754415189	0.323753932980662
"196"	196	5	0.306300982121135	0.389225375170135
"197"	197	5	0.305178605337839	0.361538148526649
"198"	198	5	0.343476449706227	0.428615270323312
"199"	199	5	0.323628513955176	0.38763815793394
"200"	200	5	0.269321544413913	0.418086923854307
"201"	201	6	0.446186452585742	0.39520307970607
"202"	202	6	0.496111346605458	0.402968546163927
"203"	203	6	0.496516381950755	0.406971507684001
"204"	204	6	0.485020600620315	0.415693675297196
"205"	205	6	0.503382590098373	0.466151144315949
"206"	206	6	0.435547321577524	0.454949033216853
"207"	207	6	0.485535005343176	0.477820389701339
"208"	208	6	0.457560014857104	0.361930105644439
"209"	209	6	0.472273579464769	0.403681259554477
"210"	210	6	0.441154198819461	0.44885580602898
"211"	211	6	0.489895646577898	0.408447565388007
"212"	212	6	0.563966181651023	0.427105112030301
"213"	213	6	0.465349429751849	0.398100220775637
"214"	214	6	0.514634049196006	0.361495560723267
"215"	215	6	0.468703098988011	0.381352793669797
"216"	216	6	0.512841613976524	0.474480432758858
"217"	217	6	0.486459001115557	0.409715124245159
"218"	218	6	0.500244144699172	0.471202142513279
"219"	219	6	0.49099763115475	0.443581706496489
"220"	220	6	0.503268412144749	0.438640119166287
"221"	221	6	0.513139001161953	0.466268658215632
"222"	222	6	0.47773262006037	0.369857929751729
"223"	223	6	0.520120633247568	0.399262954593484
"224"	224	6	0.492176129813115	0.408164257017101
"225"	225	6	0.492635225824981	0.389898797986567
"226"	226	6	0.502783458899062	0.409868272790471
"227"	227	6	0.431339406998457	0.35507705191214
"228"	228	6	0.539706861750167	0.375048071649045
"229"	229	6	0.482689309123562	0.435886121320304
"230"	230	6	0.51989826776722	0.42480831496659
"231"	231	6	0.523856372318667	0.456681635704932
"232"	232	6	0.484996060673502	0.407526833693674
"233"	233	6	0.417985110409681	0.406026494164507
"234"	234	6	0.440961970014765	0.404927644669722
"235"	235	6	0.47812743323624	0.388812034041727
"236"	236	6	0.503212829031963	0.425036180282449
"237"	237	6	0.422348064397408	0.382196309929345
"238"	238	6	0.490659579725745	0.432430489523533
"239"	239	6	0.510367586878123	0.412231561845374
"240"	240	6	0.524348953046192	0.440804709100749
"241"	241	7	0.310851201825617	0.00517522258235051
"242"	242	7	0.260261215693541	0.0727389157328829
"243"	243	7	0.303771729565503	0.055268362899497
"244"	244	7	0.266305361468153	0.0394219120825469
"245"	245	7	0.276967298217139	-0.0264089223358191
"246"	246	7	0.307837524394258	0.0145499213350223
"247"	247	7	0.30035981499156	0.0554500188412589
"248"	248	7	0.324734565744104	0.0132834644175948
"249"	249	7	0.313802199543895	0.00223534530790759
"250"	250	7	0.340739803087667	0.0242584828185953
"251"	251	7	0.311593572848618	0.00141716818879819
"252"	252	7	0.309808876489159	0.012054812793596
"253"	253	7	0.305404677522429	0.094547062477869
"254"	254	7	0.223881702938393	0.0392263603286656
"255"	255	7	0.294507039880339	0.0601596390788433
"256"	256	7	0.343196359872753	0.0241801667973589
"257"	257	7	0.270984951971475	0.00902959776587281
"258"	258	7	0.307502876233307	0.0424327442848074
"259"	259	7	0.256581082891971	-0.0218679601475685
"260"	260	7	0.297249216538772	0.0667715986925269
"261"	261	7	0.25065922322477	0.0160432272408606
"262"	262	7	0.299379070283147	-0.0679730341856757
"263"	263	7	0.315141428092163	-0.0033768039635946
"264"	264	7	0.239501476783173	0.0102793155759432
"265"	265	7	0.33984563593232	0.082372610172658
"266"	266	7	0.286115365731266	0.0203263691986625
"267"	267	7	0.328151527219773	-0.021818806180813
"268"	268	7	0.263073106058895	0.0140899306845673
"269"	269	7	0.285633467668042	-0.00433465084651944
"270"	270	7	0.311735183360072	-0.0245244511478942
"271"	271	7	0.310192184558419	0.00264661427827864
"272"	272	7	0.272201254842446	-0.0329888731983621
"273"	273	7	0.330812439909709	0.103213749764823
"274"	274	7	0.322180392495717	0.031043464291603
"275"	275	7	0.286626377552259	0.0414481507244528
"276"	276	7	0.276354106370931	-0.0118469128385742
"277"	277	7	0.350312351752615	0.06156608144674
"278"	278	7	0.293094615969339	0.0383599164256621
"279"	279	7	0.333714253712705	-0.00546273278850583
"280"	280	7	0.318117116509481	0.0194639263557764
"281"	281	8	0.510343115721762	0.629861735653363
"282"	282	8	0.550019641336068	0.62053476286434
"283"	283	8	0.594551334344935	0.584682724831315
"284"	284	8	0.534405529760509	0.562493255436372
"285"	285	8	0.497086891771877	0.599798443383812
"286"	286	8	0.538965818906623	0.637988211439696
"287"	287	8	0.513834974198268	0.617673035278396
"288"	288	8	0.55019051588747	0.602522844960794
"289"	289	8	0.561278630113344	0.592759483277963
"290"	290	8	0.520642197359094	0.622273235075775
"291"	291	8	0.545304426796633	0.617996701151433
"292"	292	8	0.508484110836741	0.614766752340415
"293"	293	8	0.505164880798394	0.569139891671775
"294"	294	8	0.546074324422688	0.509801004661004
"295"	295	8	0.53073112164719	0.57347714927002
"296"	296	8	0.506132699154565	0.629464525008846
"297"	297	8	0.489967513503334	0.584779813695455
"298"	298	8	0.545660645975072	0.571347110021376
"299"	299	8	0.548247884813408	0.529427043583326
"300"	300	8	0.543241943919567	0.572357389368687
"301"	301	8	0.497455251515323	0.566243703359809
"302"	302	8	0.556344789388936	0.572285184677444
"303"	303	8	0.553233387258897	0.593095824647261
"304"	304	8	0.541382703548475	0.583459649150184
"305"	305	8	0.572646456683467	0.628364366902455
"306"	306	8	0.546495082671549	0.543574617282095
"307"	307	8	0.545730041808678	0.545684414348595
"308"	308	8	0.531959122679351	0.557574515373545
"309"	309	8	0.513335034019292	0.589615357595579
"310"	310	8	0.486672717124355	0.655699107619028
"311"	311	8	0.509416099293476	0.631582171494173
"312"	312	8	0.57189340771243	0.579137140187445
"313"	313	8	0.488615093418807	0.567126213742298
"314"	314	8	0.509545756918944	0.628411119907389
"315"	315	8	0.531818060526008	0.599728953543352
"316"	316	8	0.493433758634084	0.577933509346398
"317"	317	8	0.517498436793553	0.58935927214481
"318"	318	8	0.538377321176077	0.626107517023353
"319"	319	8	0.551225319502525	0.587318829216752
"320"	320	8	0.507157710954745	0.596561809601075
"321"	321	9	0.41138080455021	0.426700753879589
"322"	322	9	0.402248399190032	0.488388814484945
"323"	323	9	0.425686768103978	0.459222059433842
"324"	324	9	0.436162449542311	0.432431951837856
"325"	325	9	0.429391362657669	0.499714273019803
"326"	326	9	0.436480491938724	0.489198369254203
"327"	327	9	0.480384284767897	0.432314108754554
"328"	328	9	0.37982727818355	0.484645096542263
"329"	329	9	0.478744824484135	0.505654382717179
"330"	330	9	0.415811565611224	0.512322011024096
"331"	331	9	0.481458457405272	0.501866904398588
"332"	332	9	0.47119612712577	0.514609714891274
"333"	333	9	0.465648065948284	0.498810603897309
"334"	334	9	0.480310448472845	0.504058651996453
"335"	335	9	0.446483446713926	0.489633495266669
"336"	336	9	0.46985761933838	0.461937654451473
"337"	337	9	0.439674835685233	0.50061319782275
"338"	338	9	0.383858283179191	0.52071182559549
"339"	339	9	0.422252957842098	0.561283541284537
"340"	340	9	0.495128413162997	0.479792302871496
"341"	341	9	0.430049238684162	0.493388023897725
"342"	342	9	0.442140261042749	0.429225670539653
"343"	343	9	0.38610779623267	0.469272025940746
"344"	344	9	0.429226314952092	0.531700005419993
"345"	345	9	0.452134583758712	0.48540536706594
"346"	346	9	0.482254882752838	0.510102034986618
"347"	347	9	0.442977047300536	0.513058972823093
"348"	348	9	0.408681613482869	0.464546734163056
"349"	349	9	0.47120167138282	0.493500723088831
"350"	350	9	0.467339475630223	0.500011435034066
"351"	351	9	0.414844985457383	0.483684788103977
"352"	352	9	0.416877581113135	0.499207934647499
"353"	353	9	0.453067076096087	0.473415855172923
"354"	354	9	0.459006057696721	0.458437731698084
"355"	355	9	0.452535715311361	0.508860190487235
"356"	356	9	0.411194210251483	0.534853036200069
"357"	357	9	0.442622038969721	0.498484379600898
"358"	358	9	0.43662105001129	0.490956417213105
"359"	359	9	0.39543856895198	0.484201501321784
"360"	360	9	0.418299678548574	0.535456372976841
"361"	361	10	0.792374824103016	0.13941844321886
"362"	362	10	0.765523428027873	0.154519029768467
"363"	363	10	0.781175790948375	0.0935237879149082
"364"	364	10	0.831925186843824	0.0998415696151352
"365"	365	10	0.802823067029252	0.107923244854581
"366"	366	10	0.758856631543991	0.116605333699676
"367"	367	10	0.764630387867389	0.0878598681314512
"368"	368	10	0.737754408294081	0.109715309926304
"369"	369	10	0.822094265371871	0.0816481170425027
"370"	370	10	0.812794636185143	0.113511732589471
"371"	371	10	0.8039021532683	0.0744911846099383
"372"	372	10	0.762811670733112	0.0959365205804811
"373"	373	10	0.789607980312642	0.144653781108965
"374"	374	10	0.74818397374528	0.0925804122978796
"375"	375	10	0.775870825091633	0.0819844511493471
"376"	376	10	0.7883987568095	0.120469513943433
"377"	377	10	0.737782133582696	0.0130540209957263
"378"	378	10	0.777120351561879	0.105966682986213
"379"	379	10	0.771916057719611	0.109109886732009
"380"	380	10	0.791831984502383	0.17323989755456
"381"	381	10	0.797623640097379	0.0860807381966046
"382"	382	10	0.814303337113329	0.0788404694962903
"383"	383	10	0.831127192258527	0.171470095551485
"384"	384	10	0.799357750202041	0.113924411289294
"385"	385	10	0.791852722185986	0.102731131988386
"386"	386	10	0.737843450573811	0.118269427046963
"387"	387	10	0.75731992814609	0.0894855839681279
"388"	388	10	0.803361619925034	0.0665761374353329
"389"	389	10	0.764658446680299	0.126035725328264
"390"	390	10	0.825232461940764	0.105577376785707
"391"	391	10	0.789078092488911	0.0999395828938325
"392"	392	10	0.77851947058487	0.0634353678982147
"393"	393	10	0.843593936436205	0.0790386129232957
"394"	394	10	0.756891112153457	0.117378533426449
"395"	395	10	0.813306289253259	0.0743582043408532
"396"	396	10	0.846985979727425	0.11789320854346
"397"	397	10	0.829953242103958	0.140171714831658
"398"	398	10	0.851794941773937	0.131325505559337
"399"	399	10	0.80503338553942	0.0630446466321149
"400"	400	10	0.767898163741018	0.106715814334206
